,Unnamed: 0,Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
0,0,S-1-pyrroline-5-carboxylate,,,,,,,,0
1,1,spermidine,Spermidine,HMDB0001257,1102,16610,C00315,254,NCCCCNCCCN,1
2,2,1-methylnicotinamide,1-Methylnicotinamide,HMDB0000699,457,16797,C02918,5667,C[N+]1=CC=CC(=C1)C(N)=O,1
3,3,"12,13-DiHOME","12,13-DHOME",HMDB0004705,10236635,72665,C14829,,CCCCCC(C(C/C=C\CCCCCCCC(=O)O)O)O,1
4,4,alpha-ketoglutarate,Oxoglutaric acid,HMDB0000208,51,30915,C00026,5218,OC(=O)CCC(=O)C(O)=O,1
5,5,kynurenate,Kynurenic acid,HMDB0000715,3845,18344,C01717,5683,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,1
6,6,3-hydroxyisobutyrate,(S)-3-Hydroxyisobutyric acid,HMDB0000023,440873,37373,C06001,483,C[C@@H](CO)C(O)=O,1
7,7,3-hydroxy-3-methylglutarate,3-Hydroxymethylglutaric acid,HMDB0000355,1662,16831,C03761,5344,CC(CC(=O)O)(CC(=O)O)O,1
8,8,homovanillate (HVA),,,,,,,,0
9,9,3-phosphoglycerate,3-Phosphoglyceric acid,HMDB0000807,724,17050,C00597,150,OC(COP(O)(O)=O)C(O)=O,1
10,10,cholate,Cholic acid,HMDB0000619,221493,16359,C00695,206,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,1
11,11,4-hydroxyphenylacetate,p-Hydroxyphenylacetic acid,HMDB0000020,127,18101,C00642,130,OC(=O)CC1=CC=C(O)C=C1,1
12,12,"5,6-dihydrothymine",Dihydrothymine,HMDB0000079,93556,27468,C00906,5135,CC1CNC(=O)NC1=O,1
13,13,hypoxanthine,Hypoxanthine,HMDB0000157,790,17368,C00262,83,OC1=NC=NC2=C1NC=N2,1
14,14,"9,10-DiHOME","9,10-DHOME",HMDB0004704,9966640,72663,C14828,,CCCCC/C=C\CC(C(CCCCCCCC(=O)O)O)O,1
15,15,linoleate (18:2n6),,,,,,,,0
16,16,laurate (12:0),,,,,,,,0
17,17,quinolinate,Quinolinic acid,HMDB0000232,1066,16675,C03722,330,OC(=O)C1=CC=CN=C1C(O)=O,1
18,18,"N6,N6,N6-trimethyllysine",,,,,,,,0
19,19,N-acetylputrescine,N-Acetylputrescine,HMDB0002064,122356,17768,C02714,3252,CC(=O)NCCCCN,1
20,20,N-formylmethionine,,,,,,,,0
21,21,S-adenosylhomocysteine (SAH),,,,,,,,0
22,22,"adenosine 3',5'-cyclic monophosphate (cAMP)",,,,,,,,0
23,23,adenosine 5'-monophosphate (AMP),,,,,,,,0
24,24,5-methylthioadenosine (MTA),,,,,,,,0
25,25,arachidonate (20:4n6),,,,,,,,0
26,26,arginine,L-Arginine,HMDB0000517,6322,16467,C00062,5502,N[C@@H](CCCNC(N)=N)C(O)=O,1
27,27,aspartate,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,N[C@@H](CC(O)=O)C(O)=O,1
28,28,2-hydroxyphenylacetate,Ortho-Hydroxyphenylacetic acid,HMDB0000669,11970,28478,C05852,5639,OC(=O)CC1=C(O)C=CC=C1,1
29,29,3-(4-hydroxyphenyl)lactate,Hydroxyphenyllactic acid,HMDB0000755,9378,17385,C03672,5723,OC(CC1=CC=C(O)C=C1)C(O)=O,1
30,30,phenylpyruvate,Phenylpyruvic acid,HMDB0000205,997,30851,C00166,328,OC(=O)C(=O)CC1=CC=CC=C1,1
31,31,beta-alanine,beta-Alanine,HMDB0000056,239,16958,C00099,5119,NCCC(O)=O,1
32,32,biliverdin,Biliverdin,HMDB0001008,5353439,17033,C00500,5938,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O,1
33,33,succinate,Succinic acid,HMDB0000254,1110,15741,C00042,114,O=C(O)CCC(=O)O,1
34,34,3-hydroxybutyrate (BHBA),,,,,,,,0
35,35,cholesterol,Cholesterol,HMDB0000067,5997,1307929,C00187,163,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C,1
36,36,choline phosphate,Phosphorylcholine,HMDB0001565,1014,18132,C00588,6326,C[N+](C)(C)CCOP(O)(O)=O,1
37,37,corticosterone,Corticosterone,HMDB0001547,5753,16827,C02140,6314,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,1
38,38,cortisone,Cortisone,HMDB0002802,225609,16962,C00762,271,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,1
39,39,creatinine,Creatinine,HMDB0000562,588,16737,C00791,8,CN1CC(=O)NC1=N,1
40,40,cysteinylglycine,Cysteinylglycine,HMDB0000078,439498,4047,C01419,5134,N[C@@H](CS)C(=O)NCC(O)=O,1
41,41,cystine,L-Cystine,HMDB0000192,67678,16283,C00491,5207,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,1
42,42,sphingosine,Sphingosine,HMDB0000252,5353955,16393,C00319,392,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,1
43,43,deoxycholate,Deoxycholic acid,HMDB0000626,222528,28834,C04483,265,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
44,44,cystathionine,L-Cystathionine,HMDB0000099,439258,17482,C02291,39,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,1
45,45,sphinganine,Sphinganine,HMDB0000269,91486,16566,C00836,5268,CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O,1
46,46,flavin adenine dinucleotide (FAD),,,,,,,,0
47,47,fumarate,Fumaric acid,HMDB0000134,444972,18012,C00122,3242,OC(=O)\C=C\C(O)=O,1
48,48,gamma-glutamylglutamate,gamma-Glutamylglutamic acid,HMDB0011737,92865,73705,C05282,,C(CC(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C(=O)O)N,1
